,max_thr,max_pair_thr,max_area_thr,num_true_pairs,num_total_pairs,precision
61,15,0,5,15,27,0.5555555555555556
62,15,0,10,15,27,0.5555555555555556
63,15,0,15,15,27,0.5555555555555556
64,15,0,20,15,27,0.5555555555555556
65,15,0,25,15,27,0.5555555555555556
66,15,0,30,15,27,0.5555555555555556
67,15,0,35,15,27,0.5555555555555556
68,15,0,40,15,27,0.5555555555555556
69,15,0,45,15,27,0.5555555555555556
70,15,0,50,15,27,0.5555555555555556
71,15,0,55,15,27,0.5555555555555556
72,15,0,60,15,27,0.5555555555555556
73,15,0,65,15,27,0.5555555555555556
74,15,0,70,15,27,0.5555555555555556
75,15,0,75,15,27,0.5555555555555556
76,15,0,80,15,27,0.5555555555555556
77,15,0,85,15,27,0.5555555555555556
78,15,0,90,15,27,0.5555555555555556
79,15,0,95,15,27,0.5555555555555556
80,15,5,0,15,27,0.5555555555555556
81,15,5,5,15,27,0.5555555555555556
82,15,5,10,15,27,0.5555555555555556
83,15,5,15,15,27,0.5555555555555556
84,15,5,20,15,27,0.5555555555555556
85,15,5,25,15,27,0.5555555555555556
86,15,5,30,15,27,0.5555555555555556
87,15,5,35,15,27,0.5555555555555556
88,15,5,40,15,27,0.5555555555555556
89,15,5,45,15,27,0.5555555555555556
90,15,5,50,15,27,0.5555555555555556
91,15,5,55,15,27,0.5555555555555556
92,15,5,60,15,27,0.5555555555555556
93,15,5,65,15,27,0.5555555555555556
94,15,5,70,15,27,0.5555555555555556
95,15,5,75,15,27,0.5555555555555556
